2025-12-22 10:34:33,920 | ERROR | fastapi | Form data requires "python-multipart" to be installed. 
You can install "python-multipart" with: 

pip install python-multipart

2025-12-22 10:37:18,257 | INFO | backend | Received YouTube URL: https://www.youtube.com/watch?v=n8xX8M0U3aY
2025-12-22 10:45:38,910 | ERROR | backend | Database connection failed: Textual SQL expression 'SELECT 1' should be explicitly declared as text('SELECT 1')
2025-12-22 10:47:07,359 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-12-22 10:47:16,381 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-12-22 10:47:27,121 | INFO | backend | Application shutdown
2025-12-22 10:47:31,089 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-12-22 10:48:01,513 | INFO | backend | Application shutdown
2025-12-22 10:48:05,438 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-12-22 10:48:14,409 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-12-22 10:48:28,578 | INFO | backend | Application shutdown
2025-12-22 10:48:32,595 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-12-22 10:48:39,044 | INFO | backend | Application shutdown
2025-12-22 10:48:43,137 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-12-22 10:51:04,810 | INFO | backend | Application shutdown
2025-12-22 10:51:49,533 | ERROR | backend | Database connection failed: (psycopg2.OperationalError) could not translate host name "postgresql" to address: Name or service not known

(Background on this error at: https://sqlalche.me/e/20/e3q8)
